25-08-06 14:51:15.788 - INFO: ----------------------------------------------------
25-08-06 14:51:15.789 - INFO: ==> Resuming Training with learning rate:0.0003
25-08-06 14:51:15.789 - INFO: ----------------------------------------------------
25-08-06 14:51:18.107 - INFO: 0001 00031 diff=0.024932, exp_diff=0.024721, Loss_Reg=0.024932, Lambda=0.066667, Loss_Rev=0.223117, Loss_All=0.248049, Time=0.0492
25-08-06 14:51:18.160 - INFO: 0001 00032 diff=0.059293, exp_diff=0.059005, Loss_Reg=0.059293, Lambda=0.066667, Loss_Rev=0.531904, Loss_All=0.591197, Time=0.0495
25-08-06 14:51:18.213 - INFO: 0001 00033 diff=0.041118, exp_diff=0.040986, Loss_Reg=0.041118, Lambda=0.066667, Loss_Rev=0.369267, Loss_All=0.410385, Time=0.0496
25-08-06 14:51:18.266 - INFO: 0001 00034 diff=0.081654, exp_diff=0.081588, Loss_Reg=0.081654, Lambda=0.066667, Loss_Rev=0.734493, Loss_All=0.816147, Time=0.0496
25-08-06 14:51:18.319 - INFO: 0001 00035 diff=0.030036, exp_diff=0.030011, Loss_Reg=0.030036, Lambda=0.066667, Loss_Rev=0.270173, Loss_All=0.300209, Time=0.0494
25-08-06 14:51:18.373 - INFO: 0001 00036 diff=0.097763, exp_diff=0.097720, Loss_Reg=0.097763, Lambda=0.066667, Loss_Rev=0.879608, Loss_All=0.977372, Time=0.0497
25-08-06 14:51:18.426 - INFO: 0001 00037 diff=0.006944, exp_diff=0.006928, Loss_Reg=0.006944, Lambda=0.066667, Loss_Rev=0.062399, Loss_All=0.069343, Time=0.0495
25-08-06 14:51:18.479 - INFO: 0001 00038 diff=0.025780, exp_diff=0.025717, Loss_Reg=0.025780, Lambda=0.066667, Loss_Rev=0.231642, Loss_All=0.257422, Time=0.0495
25-08-06 14:51:18.531 - INFO: 0001 00039 diff=0.055117, exp_diff=0.054670, Loss_Reg=0.055117, Lambda=0.066667, Loss_Rev=0.493366, Loss_All=0.548484, Time=0.0493
25-08-06 14:51:18.585 - INFO: 0001 00040 diff=0.045987, exp_diff=0.045382, Loss_Reg=0.045987, Lambda=0.066667, Loss_Rev=0.410238, Loss_All=0.456226, Time=0.0495
25-08-06 14:51:18.639 - INFO: 0001 00041 diff=0.044939, exp_diff=0.044875, Loss_Reg=0.044939, Lambda=0.066667, Loss_Rev=0.404063, Loss_All=0.449002, Time=0.0516
25-08-06 14:51:18.692 - INFO: 0001 00042 diff=0.133999, exp_diff=0.133973, Loss_Reg=0.133999, Lambda=0.066667, Loss_Rev=1.205836, Loss_All=1.339835, Time=0.0495
25-08-06 14:51:18.745 - INFO: 0001 00043 diff=0.016207, exp_diff=0.016152, Loss_Reg=0.016207, Lambda=0.066667, Loss_Rev=0.145531, Loss_All=0.161738, Time=0.0494
25-08-06 14:51:18.798 - INFO: 0001 00044 diff=0.025002, exp_diff=0.024962, Loss_Reg=0.025002, Lambda=0.066667, Loss_Rev=0.224776, Loss_All=0.249778, Time=0.0496
25-08-06 14:51:18.853 - INFO: 0001 00045 diff=0.025038, exp_diff=0.024962, Loss_Reg=0.025038, Lambda=0.066667, Loss_Rev=0.224882, Loss_All=0.249919, Time=0.0513
25-08-06 14:51:18.905 - INFO: 0001 00046 diff=0.031132, exp_diff=0.030958, Loss_Reg=0.031132, Lambda=0.066667, Loss_Rev=0.279137, Loss_All=0.310269, Time=0.0493
25-08-06 14:51:18.958 - INFO: 0001 00047 diff=0.031982, exp_diff=0.031944, Loss_Reg=0.031982, Lambda=0.066667, Loss_Rev=0.287608, Loss_All=0.319590, Time=0.0494
25-08-06 14:51:19.011 - INFO: 0001 00048 diff=0.065132, exp_diff=0.064753, Loss_Reg=0.065132, Lambda=0.066667, Loss_Rev=0.583905, Loss_All=0.649037, Time=0.0495
25-08-06 14:51:19.067 - INFO: 0001 00049 diff=0.059778, exp_diff=0.059705, Loss_Reg=0.059778, Lambda=0.066667, Loss_Rev=0.537563, Loss_All=0.597341, Time=0.0521
25-08-06 14:51:19.121 - INFO: 0001 00050 diff=0.056072, exp_diff=0.056021, Loss_Reg=0.056072, Lambda=0.066667, Loss_Rev=0.504342, Loss_All=0.560414, Time=0.0497
25-08-06 14:51:19.174 - INFO: 0001 00051 diff=0.040967, exp_diff=0.040922, Loss_Reg=0.040967, Lambda=0.066667, Loss_Rev=0.368432, Loss_All=0.409400, Time=0.0499
25-08-06 14:51:19.228 - INFO: 0001 00052 diff=0.039329, exp_diff=0.039295, Loss_Reg=0.039329, Lambda=0.066667, Loss_Rev=0.353756, Loss_All=0.393086, Time=0.0500
25-08-06 14:51:19.283 - INFO: 0001 00053 diff=0.040014, exp_diff=0.039308, Loss_Reg=0.040014, Lambda=0.066667, Loss_Rev=0.355869, Loss_All=0.395884, Time=0.0519
25-08-06 14:51:19.337 - INFO: 0001 00054 diff=0.028721, exp_diff=0.028661, Loss_Reg=0.028721, Lambda=0.066667, Loss_Rev=0.258127, Loss_All=0.286848, Time=0.0498
25-08-06 14:51:19.390 - INFO: 0001 00055 diff=0.044546, exp_diff=0.043300, Loss_Reg=0.044546, Lambda=0.066667, Loss_Rev=0.393389, Loss_All=0.437936, Time=0.0494
25-08-06 14:51:19.443 - INFO: 0001 00056 diff=0.022706, exp_diff=0.022608, Loss_Reg=0.022706, Lambda=0.066667, Loss_Rev=0.203764, Loss_All=0.226469, Time=0.0498
25-08-06 14:51:19.497 - INFO: 0001 00057 diff=0.042652, exp_diff=0.042608, Loss_Reg=0.042652, Lambda=0.066667, Loss_Rev=0.383604, Loss_All=0.426256, Time=0.0500
25-08-06 14:51:19.552 - INFO: 0001 00058 diff=0.026596, exp_diff=0.025892, Loss_Reg=0.026596, Lambda=0.066667, Loss_Rev=0.235113, Loss_All=0.261709, Time=0.0518
25-08-06 14:51:19.608 - INFO: 0001 00059 diff=0.020943, exp_diff=0.020724, Loss_Reg=0.020943, Lambda=0.066667, Loss_Rev=0.187168, Loss_All=0.208111, Time=0.0529
25-08-06 14:51:19.661 - INFO: 0001 00060 diff=0.012681, exp_diff=0.012475, Loss_Reg=0.012681, Lambda=0.066667, Loss_Rev=0.112889, Loss_All=0.125570, Time=0.0499
25-08-06 14:51:19.715 - INFO: 0001 00061 diff=0.066827, exp_diff=0.066477, Loss_Reg=0.066827, Lambda=0.066667, Loss_Rev=0.599332, Loss_All=0.666159, Time=0.0499
25-08-06 14:51:19.768 - INFO: 0001 00062 diff=0.025874, exp_diff=0.025751, Loss_Reg=0.025874, Lambda=0.066667, Loss_Rev=0.232127, Loss_All=0.258001, Time=0.0501
25-08-06 14:51:19.821 - INFO: 0001 00063 diff=0.032663, exp_diff=0.032131, Loss_Reg=0.032663, Lambda=0.066667, Loss_Rev=0.290758, Loss_All=0.323421, Time=0.0499
25-08-06 14:51:19.877 - INFO: 0001 00064 diff=0.045718, exp_diff=0.045511, Loss_Reg=0.045718, Lambda=0.066667, Loss_Rev=0.410217, Loss_All=0.455936, Time=0.0522
25-08-06 14:51:19.930 - INFO: 0001 00065 diff=0.015804, exp_diff=0.015757, Loss_Reg=0.015804, Lambda=0.066667, Loss_Rev=0.141953, Loss_All=0.157757, Time=0.0494
25-08-06 14:51:19.984 - INFO: 0001 00066 diff=0.033698, exp_diff=0.033424, Loss_Reg=0.033698, Lambda=0.066667, Loss_Rev=0.301628, Loss_All=0.335326, Time=0.0496
25-08-06 14:51:20.037 - INFO: 0001 00067 diff=0.028777, exp_diff=0.028604, Loss_Reg=0.028777, Lambda=0.066667, Loss_Rev=0.257950, Loss_All=0.286727, Time=0.0497
25-08-06 14:51:20.090 - INFO: 0001 00068 diff=0.010327, exp_diff=0.010121, Loss_Reg=0.010327, Lambda=0.066667, Loss_Rev=0.091702, Loss_All=0.102029, Time=0.0499
25-08-06 14:51:20.143 - INFO: 0001 00069 diff=0.021358, exp_diff=0.021232, Loss_Reg=0.021358, Lambda=0.066667, Loss_Rev=0.191464, Loss_All=0.212822, Time=0.0499
25-08-06 14:51:20.197 - INFO: 0001 00070 diff=0.018816, exp_diff=0.018729, Loss_Reg=0.018816, Lambda=0.066667, Loss_Rev=0.168821, Loss_All=0.187637, Time=0.0503
25-08-06 14:51:20.250 - INFO: 0001 00071 diff=0.035004, exp_diff=0.034764, Loss_Reg=0.035004, Lambda=0.066667, Loss_Rev=0.313589, Loss_All=0.348593, Time=0.0497
25-08-06 14:51:20.303 - INFO: 0001 00072 diff=0.020053, exp_diff=0.019819, Loss_Reg=0.020053, Lambda=0.066667, Loss_Rev=0.179071, Loss_All=0.199124, Time=0.0495
25-08-06 14:51:20.356 - INFO: 0001 00073 diff=0.010218, exp_diff=0.010101, Loss_Reg=0.010218, Lambda=0.066667, Loss_Rev=0.091257, Loss_All=0.101474, Time=0.0497
25-08-06 14:51:20.412 - INFO: 0001 00074 diff=0.011341, exp_diff=0.011172, Loss_Reg=0.011341, Lambda=0.066667, Loss_Rev=0.101053, Loss_All=0.112394, Time=0.0529
25-08-06 14:51:20.468 - INFO: 0001 00075 diff=0.015296, exp_diff=0.015043, Loss_Reg=0.015296, Lambda=0.066667, Loss_Rev=0.136143, Loss_All=0.151440, Time=0.0522
25-08-06 14:51:20.522 - INFO: 0001 00076 diff=0.021302, exp_diff=0.021196, Loss_Reg=0.021302, Lambda=0.066667, Loss_Rev=0.191083, Loss_All=0.212385, Time=0.0498
25-08-06 14:51:20.575 - INFO: 0001 00077 diff=0.017311, exp_diff=0.017210, Loss_Reg=0.017311, Lambda=0.066667, Loss_Rev=0.155192, Loss_All=0.172503, Time=0.0496
25-08-06 14:51:20.628 - INFO: 0001 00078 diff=0.007231, exp_diff=0.007212, Loss_Reg=0.007231, Lambda=0.066667, Loss_Rev=0.064964, Loss_All=0.072195, Time=0.0497
25-08-06 14:51:20.683 - INFO: 0001 00079 diff=0.013115, exp_diff=0.013068, Loss_Reg=0.013115, Lambda=0.066667, Loss_Rev=0.117749, Loss_All=0.130864, Time=0.0520
25-08-06 14:51:20.736 - INFO: 0001 00080 diff=0.093993, exp_diff=0.092819, Loss_Reg=0.093993, Lambda=0.066667, Loss_Rev=0.838842, Loss_All=0.932835, Time=0.0496
25-08-06 14:51:20.791 - INFO: 0001 00081 diff=0.030032, exp_diff=0.029221, Loss_Reg=0.030032, Lambda=0.066667, Loss_Rev=0.265393, Loss_All=0.295425, Time=0.0514
