25-08-05 14:34:48.027 - INFO: ----------------------------------------------------
25-08-05 14:34:48.027 - INFO: ==> Resuming Training with learning rate:0.0003
25-08-05 14:34:48.027 - INFO: ----------------------------------------------------
25-08-05 14:37:39.063 - INFO: 0001 00029 diff=0.064641, exp_diff=0.064175, Loss_Reg=0.064641, Lambda=0.06666666666666667, Loss_Rev=0.578971, Loss_All=0.643613, Time=5.4162
25-08-05 14:37:46.666 - INFO: 0001 00030 diff=0.062463, exp_diff=0.061262, Loss_Reg=0.062463, Lambda=0.06666666666666667, Loss_Rev=0.554928, Loss_All=0.617391, Time=7.6022
25-08-05 14:37:52.101 - INFO: 0001 00031 diff=0.026156, exp_diff=0.025780, Loss_Reg=0.026156, Lambda=0.06666666666666667, Loss_Rev=0.233136, Loss_All=0.259292, Time=5.4351
25-08-05 14:37:57.514 - INFO: 0001 00032 diff=0.037558, exp_diff=0.037307, Loss_Reg=0.037558, Lambda=0.06666666666666667, Loss_Rev=0.336498, Loss_All=0.374055, Time=5.4119
25-08-05 14:38:02.964 - INFO: 0001 00033 diff=0.052351, exp_diff=0.052322, Loss_Reg=0.052351, Lambda=0.06666666666666667, Loss_Rev=0.470970, Loss_All=0.523321, Time=5.4495
25-08-05 14:38:08.379 - INFO: 0001 00034 diff=0.036105, exp_diff=0.035756, Loss_Reg=0.036105, Lambda=0.06666666666666667, Loss_Rev=0.322822, Loss_All=0.358927, Time=5.4141
25-08-05 14:38:13.873 - INFO: 0001 00035 diff=0.085757, exp_diff=0.085434, Loss_Reg=0.085757, Lambda=0.06666666666666667, Loss_Rev=0.769861, Loss_All=0.855619, Time=5.4934
25-08-05 14:38:19.340 - INFO: 0001 00036 diff=0.031379, exp_diff=0.031011, Loss_Reg=0.031379, Lambda=0.06666666666666667, Loss_Rev=0.280189, Loss_All=0.311568, Time=5.4660
25-08-05 14:38:24.776 - INFO: 0001 00037 diff=0.033376, exp_diff=0.032909, Loss_Reg=0.033376, Lambda=0.06666666666666667, Loss_Rev=0.297572, Loss_All=0.330948, Time=5.4353
25-08-05 14:38:30.234 - INFO: 0001 00038 diff=0.028271, exp_diff=0.027654, Loss_Reg=0.028271, Lambda=0.06666666666666667, Loss_Rev=0.250719, Loss_All=0.278989, Time=5.4570
25-08-05 14:38:35.697 - INFO: 0001 00039 diff=0.033606, exp_diff=0.032992, Loss_Reg=0.033606, Lambda=0.06666666666666667, Loss_Rev=0.298760, Loss_All=0.332367, Time=5.4626
25-08-05 14:38:43.281 - INFO: 0001 00040 diff=0.025622, exp_diff=0.025295, Loss_Reg=0.025622, Lambda=0.06666666666666667, Loss_Rev=0.228626, Loss_All=0.254248, Time=7.5829
25-08-05 14:38:48.745 - INFO: 0001 00041 diff=0.033307, exp_diff=0.032878, Loss_Reg=0.033307, Lambda=0.06666666666666667, Loss_Rev=0.297176, Loss_All=0.330483, Time=5.4637
25-08-05 14:38:54.181 - INFO: 0001 00042 diff=0.059428, exp_diff=0.058876, Loss_Reg=0.059428, Lambda=0.06666666666666667, Loss_Rev=0.531521, Loss_All=0.590949, Time=5.4352
25-08-05 14:38:59.621 - INFO: 0001 00043 diff=0.032849, exp_diff=0.032508, Loss_Reg=0.032849, Lambda=0.06666666666666667, Loss_Rev=0.293581, Loss_All=0.326430, Time=5.4390
25-08-05 14:39:05.092 - INFO: 0001 00044 diff=0.041123, exp_diff=0.040588, Loss_Reg=0.041123, Lambda=0.06666666666666667, Loss_Rev=0.366874, Loss_All=0.407996, Time=5.4702
25-08-05 14:39:10.550 - INFO: 0001 00045 diff=0.024848, exp_diff=0.024545, Loss_Reg=0.024848, Lambda=0.06666666666666667, Loss_Rev=0.221801, Loss_All=0.246649, Time=5.4572
25-08-05 14:39:15.986 - INFO: 0001 00046 diff=0.029458, exp_diff=0.029139, Loss_Reg=0.029458, Lambda=0.06666666666666667, Loss_Rev=0.263191, Loss_All=0.292649, Time=5.4352
25-08-05 14:39:21.439 - INFO: 0001 00047 diff=0.025522, exp_diff=0.025023, Loss_Reg=0.025522, Lambda=0.06666666666666667, Loss_Rev=0.226677, Loss_All=0.252199, Time=5.4524
25-08-05 14:39:26.871 - INFO: 0001 00048 diff=0.031057, exp_diff=0.030588, Loss_Reg=0.031057, Lambda=0.06666666666666667, Loss_Rev=0.276675, Loss_All=0.307732, Time=5.4307
